area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district,district_encoded,price_standardized,building_age
102,1398,2,1,1,1,9950000000,35,سازمان برنامه,121,-0.19931612734032722,5
73,1400,2,1,1,1,1720000000,2,شهر زیبا,148,-0.7675174406630542,3
55,1400,1,1,1,1,1350000000,2,شهر زیبا,148,-0.7930623356727029,3
100,1402,2,1,1,1,13500000000,2,کوی فردوس,265,0.045776784238734824,1
220,1388,3,1,1,1,34800000000,45,دروس,102,1.5163342537131073,15
95,1403,2,1,1,1,3400000000,44,قیام‌دشت,204,-0.6515298092678924,0
135,1396,2,1,1,0,10000000000,1214,شهرک صدرا,161,-0.19586411450118552,7
70,1375,2,0,1,1,4700000000,2,شیخ هادی,179,-0.5617774754502077,28
108,1394,2,0,1,1,11300000000,1,دهکده المپیک,108,-0.10611178068350081,9
83,1384,2,0,1,1,7450000000,24,جنت‌آباد جنوبی,68,-0.3719167692974132,19
